iter	Accuracy	MultiClass
170	1	0.483293557
171	1	0.4804381648
172	1	0.4785897295
173	1	0.4765052327
174	1	0.4745869333
175	1	0.4707675849
176	1	0.4670543746
177	1	0.4637113264
178	1	0.4603083823
179	1	0.4573186134
180	1	0.4553023172
181	1	0.4534848924
182	1	0.4513831133
183	1	0.4492899609
184	1	0.4460174646
185	1	0.4431429087
186	1	0.440250449
187	1	0.4379010516
188	1	0.435320165
189	1	0.4335278106
190	1	0.4312043723
191	1	0.4294760089
192	1	0.427652171
193	1	0.4257320268
194	1	0.4233402806
195	1	0.4213649172
196	1	0.4196700743
197	1	0.4175843272
198	1	0.4152811048
199	1	0.4130435612
200	1	0.4102920608
201	1	0.407601567
202	1	0.4049659544
203	1	0.402395128
204	1	0.400934725
205	1	0.398560425
206	1	0.3967889404
207	1	0.3941738981
208	1	0.3920947016
209	1	0.3902371054
210	1	0.3888785432
211	1	0.3868425478
212	1	0.3852277822
213	1	0.3825539561
214	1	0.3813791774
215	1	0.3803455768
216	1	0.3779532769
217	1	0.3761821939
218	1	0.3749587385
219	1	0.3728559834
220	1	0.370689921
221	1	0.3688196773
222	1	0.3673295061
223	1	0.3650217813
224	1	0.3635791718
225	1	0.3618048931
226	1	0.3606387544
227	1	0.3591754785
228	1	0.3580210476
229	1	0.3563720591
230	1	0.3544752706
231	1	0.3526773715
232	1	0.3507429207
233	1	0.3494742177
234	1	0.347874234
235	1	0.3466308825
236	1	0.3447734683
237	1	0.3422754652
238	1	0.3403883508
239	1	0.3380564364
240	1	0.3362286486
241	1	0.333928195
242	1	0.3326863553
243	1	0.3314317076
244	1	0.3307037569
245	1	0.329332248
246	1	0.3281976792
247	1	0.3262363925
248	1	0.3250055147
249	1	0.3237156722
250	1	0.3222015296
251	1	0.3212753684
252	1	0.3191080952
253	1	0.3180750603
254	1	0.3162587951
255	1	0.3148470786
256	1	0.3133442001
257	1	0.3122161418
258	1	0.3105611248
259	1	0.3091409724
260	1	0.3080050185
261	1	0.3067762239
262	1	0.3048607087
263	1	0.3031104733
264	1	0.3020307942
265	1	0.3001977825
266	1	0.2987531884
267	1	0.2976689665
268	1	0.2961377665
269	1	0.2948171965
270	1	0.292945276
271	1	0.2922750882
272	1	0.2906380657
273	1	0.2897884002
274	1	0.2882371088
275	1	0.2875273796
276	1	0.2862460678
277	1	0.2850687342
278	1	0.2834884042
279	1	0.2817928277
280	1	0.2805768473
281	1	0.279582467
282	1	0.2780934845
283	1	0.2773158754
284	1	0.2763320856
285	1	0.27541311
286	1	0.2743262243
287	1	0.2731612559
288	1	0.2722049593
289	1	0.2710258604
290	1	0.2696423734
291	1	0.2683847624
292	1	0.2669775841
293	1	0.2656371447
294	1	0.2642933028
295	1	0.26319686
296	1	0.2616120713
297	1	0.2605304487
298	1	0.25933385
299	1	0.2580565846
300	1	0.2571299559
301	1	0.2562570944
302	1	0.2547815124
303	1	0.2542039365
304	1	0.2537072065
305	1	0.2524417231
306	1	0.2516540749
307	1	0.2506554683
308	1	0.2494984347
309	1	0.2485356976
310	1	0.2477572885
311	1	0.2467660909
312	1	0.2455171199
313	1	0.2446548969
314	1	0.2434490624
315	1	0.2423924595
316	1	0.2413609753
317	1	0.2402201533
318	1	0.2391068338
319	1	0.2380059094
320	1	0.2370322172
321	1	0.2354966578
322	1	0.2346072393
323	1	0.2333593315
324	1	0.2324463085
325	1	0.2318514818
326	1	0.2309545793
327	1	0.2301409649
328	1	0.2292647524
329	1	0.2287340927
330	1	0.2275808443
331	1	0.2264795314
332	1	0.2260894429
333	1	0.2257991622
334	1	0.2247477225
335	1	0.2242750553
336	1	0.2237312484
337	1	0.22307318
338	1	0.2221627683
339	1	0.2210184672
340	1	0.2200601691
341	1	0.2190157911
342	1	0.2177941346
343	1	0.2169711334
344	1	0.2155403467
345	1	0.2146817477
346	1	0.2140308692
347	1	0.2134575691
348	1	0.2128820894
349	1	0.2119112349
350	1	0.2112626897
351	1	0.2107504365
352	1	0.210091839
353	1	0.209330769
354	1	0.2086325594
355	1	0.2079729349
356	1	0.2075284081
357	1	0.2066508777
358	1	0.2058616394
359	1	0.2050026892
360	1	0.2041722958
361	1	0.2034328615
362	1	0.2025085955
363	1	0.201628247
