iter	Passed	Remaining
417	3051	4249
418	3057	4239
419	3062	4229
420	3068	4220
421	3074	4211
422	3080	4202
423	3087	4193
424	3094	4186
425	3100	4177
426	3106	4168
427	3112	4159
428	3118	4150
429	3124	4141
430	3130	4132
431	3136	4123
432	3142	4114
433	3148	4106
434	3158	4103
435	3164	4094
436	3171	4085
437	3178	4077
438	3201	4091
439	3207	4082
440	3213	4073
441	3219	4064
442	3226	4056
443	3232	4047
444	3255	4060
445	3262	4052
446	3267	4042
447	3274	4034
448	3280	4025
449	3296	4028
450	3302	4020
451	3309	4012
452	3315	4003
453	3321	3994
454	3327	3985
455	3333	3976
456	3338	3967
457	3345	3958
458	3350	3949
459	3358	3942
460	3363	3933
461	3370	3924
462	3376	3916
463	3382	3907
464	3388	3899
465	3394	3889
466	3400	3880
467	3406	3872
468	3412	3863
469	3418	3855
470	3425	3846
471	3431	3838
472	3437	3829
473	3442	3820
474	3448	3811
475	3455	3803
476	3460	3794
477	3466	3785
478	3472	3777
479	3478	3768
480	3484	3760
481	3490	3751
482	3496	3743
483	3502	3734
484	3508	3725
485	3514	3717
486	3521	3709
487	3527	3700
488	3533	3692
489	3538	3683
490	3544	3674
491	3551	3666
492	3557	3658
493	3563	3649
494	3568	3640
495	3574	3632
496	3580	3623
497	3586	3615
498	3592	3607
499	3599	3599
500	3605	3590
501	3611	3582
502	3617	3574
503	3623	3565
504	3629	3557
505	3636	3549
506	3642	3541
507	3648	3533
508	3653	3524
509	3659	3515
510	3665	3507
511	3670	3498
512	3676	3490
513	3682	3482
514	3689	3474
515	3694	3465
516	3701	3458
517	3707	3450
518	3713	3441
519	3720	3434
520	3726	3426
521	3733	3418
522	3739	3410
523	3745	3402
524	3751	3394
525	3757	3386
526	3763	3378
527	3769	3370
528	3775	3361
529	3782	3353
530	3791	3348
531	3797	3340
532	3806	3334
533	3812	3326
534	3819	3319
535	3825	3311
536	3831	3303
537	3855	3310
538	3860	3302
539	3867	3294
540	3873	3286
541	3879	3277
542	3885	3269
543	3899	3269
544	3905	3260
545	3911	3252
546	3917	3244
547	3923	3236
548	3933	3231
549	3938	3222
550	3945	3214
551	3951	3207
552	3957	3199
553	3964	3191
554	3970	3183
555	3976	3175
556	3983	3168
557	3989	3160
558	3995	3152
559	4001	3144
560	4008	3136
561	4014	3128
562	4020	3120
563	4026	3112
564	4032	3104
565	4038	3096
566	4044	3088
567	4050	3080
568	4056	3072
569	4063	3065
570	4068	3056
571	4074	3049
572	4080	3041
573	4086	3032
574	4092	3024
575	4098	3016
576	4104	3009
577	4110	3001
578	4116	2993
579	4123	2985
580	4130	2978
581	4136	2970
582	4142	2962
583	4148	2954
584	4153	2946
585	4159	2938
586	4165	2930
587	4172	2923
588	4178	2915
589	4183	2907
590	4189	2899
591	4196	2891
592	4202	2884
593	4208	2876
594	4213	2868
595	4219	2860
596	4225	2852
597	4231	2844
598	4238	2837
599	4245	2830
600	4251	2822
601	4257	2814
602	4263	2806
603	4269	2799
604	4275	2791
605	4280	2783
606	4287	2775
607	4294	2768
608	4300	2761
609	4306	2753
610	4312	2745
611	4318	2738
612	4324	2730
613	4332	2723
614	4364	2732
615	4371	2725
616	4378	2718
617	4385	2710
618	4393	2703
619	4422	2710
620	4430	2703
621	4436	2696
622	4445	2690
623	4453	2683
624	4463	2677
625	4469	2670
626	4475	2662
627	4482	2655
628	4489	2647
629	4500	2643
630	4509	2637
631	4517	2630
632	4524	2623
633	4534	2617
634	4542	2610
635	4548	2603
636	4557	2597
637	4563	2589
638	4582	2588
639	4591	2582
640	4598	2575
641	4605	2568
642	4639	2575
643	4646	2568
644	4654	2561
645	4661	2554
646	4667	2546
647	4679	2542
648	4686	2534
649	4693	2527
650	4709	2524
651	4715	2516
652	4722	2509
653	4727	2501
654	4759	2507
655	4765	2499
656	4772	2491
657	4777	2483
658	4784	2475
659	4790	2467
660	4797	2460
661	4803	2452
662	4809	2444
663	4815	2436
664	4820	2428
665	4826	2420
666	4833	2413
667	4839	2405
668	4845	2397
669	4851	2389
670	4858	2382
671	4864	2374
672	4870	2366
673	4876	2358
674	4882	2350
675	4888	2343
676	4894	2335
677	4901	2327
678	4907	2319
679	4913	2312
680	4919	2304
681	4925	2296
682	4931	2289
683	4937	2281
684	4944	2273
685	4949	2265
686	4955	2257
687	4960	2249
688	4967	2242
689	4973	2234
690	4979	2226
691	4986	2219
692	4992	2211
693	4998	2203
694	5004	2196
695	5010	2188
696	5016	2180
697	5023	2173
698	5028	2165
699	5034	2157
700	5041	2150
701	5046	2142
702	5052	2134
703	5058	2126
704	5064	2119
705	5070	2111
706	5077	2104
707	5083	2096
708	5088	2088
709	5095	2081
710	5101	2073
711	5107	2065
712	5112	2058
713	5119	2050
714	5125	2042
715	5131	2035
716	5137	2027
717	5143	2020
718	5149	2012
719	5154	2004
720	5160	1997
721	5166	1989
722	5172	1981
723	5178	1974
724	5184	1966
725	5191	1959
726	5197	1951
727	5203	1944
728	5209	1936
729	5215	1929
730	5230	1924
731	5236	1917
732	5242	1909
733	5248	1902
734	5255	1894
735	5264	1888
736	5270	1880
737	5276	1873
738	5283	1865
739	5288	1858
740	5295	1850
741	5301	1843
742	5307	1835
743	5313	1828
744	5320	1820
745	5326	1813
746	5332	1806
747	5338	1798
748	5344	1791
749	5350	1783
750	5356	1775
751	5363	1768
752	5369	1761
753	5375	1753
754	5381	1746
755	5387	1738
756	5393	1731
757	5399	1723
758	5405	1716
759	5411	1708
760	5417	1701
761	5423	1694
762	5430	1686
763	5436	1679
764	5442	1672
765	5449	1664
766	5455	1657
767	5461	1649
768	5467	1642
769	5473	1634
770	5480	1627
771	5486	1620
772	5493	1613
773	5500	1605
774	5505	1598
775	5511	1590
